id;dc_source;dc_title;foi_nrPages;foi_fairiscoreVersions;foi_fairiscore_v2
nl.mnre1013.2e-b.2024.112.doc.1;https://open.overheid.nl/documenten/f83d54f7-e0ab-4f91-9d62-a158bc6748b5/file;Beslisnota bij Beantwoording vragen over de situatie in Soedan;1.0;"{""v1"": 2, ""v2"": 2}";2
nl.mnre1013.2e-b.2024.586.doc.1;https://open.overheid.nl/documenten/1f9b6c03-181b-4170-bcca-c73542132c6b/file;Beslisnota bij Beantwoording vragen over het bericht _Russen maken microchips met oude ASML-machines voor wapens_;1.0;"{""v1"": 2, ""v2"": 2}";2
nl.mnre1171.2e-b.2024.115.doc.1;https://open.overheid.nl/documenten/1c5e2ea0-5029-448f-98b4-fe5deb09f4aa/file;Beslisnota bij Kamerbrief _ brief aan gemeenten ihkv permanente bewoning recreatiewoningen;2.0;"{""v1"": 1, ""v2"": 1}";1
nl.mnre1073.2e-b.2024.246.doc.1;https://open.overheid.nl/documenten/c6bc3a4e-8e4d-4d91-8ad3-007c74ed97e7/file;Openbaarmaking Beslisnota_s - Wijzigingswet SZW-wetten Caribisch Nederland BES 2024_Geredigeerd;14.0;"{""v1"": 3, ""v2"": 3}";3
nl.mnre1018.2e-b.2024.48.doc.1;https://open.overheid.nl/documenten/fd792e2d-1213-4bc9-89f3-2419186d2b2a/file;2024 07 19 Beslisnota bij KB Nieuwe tijdelijke werkwijze gebruik persoonsgegevens bij reorganisaties;2.0;"{""v1"": 1, ""v2"": 1}";1
nl.mnre1013.2e-b.2024.157.doc.1;https://open.overheid.nl/documenten/b0d106e3-97e6-4a59-a633-e217d20c4b88/file;Beslisnota inzake nazending adviezen Rijkswetsvoorstel tot goedkeuring Conventie 108_;1.0;"{""v1"": 2, ""v2"": 2}";2
nl.mnre1034.2e-b.2024.323.doc.1;https://open.overheid.nl/documenten/d10b17dd-fa74-4344-96b8-8dc53385dfee/file;Beslisnota bij Antwoorden op Kamervragen over de aanpak van malafide verhuurders;3.0;"{""v1"": 1, ""v2"": 1}";1
nl.mnre1025.2e-b.2024.453.doc.1;https://open.overheid.nl/documenten/c121d9cf-ccd8-4ea5-a068-c73deab26b0c/file;Beslisnota bij Kamerbrief over Kabinetsstandpunt gratis maken nummer 113;2.0;"{""v1"": 5, ""v2"": 5}";5
nl.mnre1109.2e-b.2024.305.doc.1;https://open.overheid.nl/documenten/dpc-1bbe932549b73691278c823831e3629a7ef2db96/pdf;beslisnota-bij-de-reactie-op-een-halfjaarlijks-verzoek-om-informatie-over-moties-en-toezeggingen;1.0;"{""v1"": 1, ""v2"": 1}";1
nl.mnre1025.2e-b.2024.884.doc.1;https://open.overheid.nl/documenten/c61a8442-0505-4aeb-bbcd-bcbc0bab238f/file;Beslisnota bij Kamerbrief over Bezoek European Committtee for the Prevention of Torture aan gesloten jeugdhulpinstellingen Nederland;2.0;"{""v1"": 5, ""v2"": 5}";5
nl.mnre1034.2e-b.2024.366.doc.1;https://open.overheid.nl/documenten/8ea80821-370d-476c-b8d3-9aaddcc72abb/file;Beslisnota bij Kamerbrief toezegging commissiedebat Discriminatie_ racisme en mensenrechten;2.0;"{""v1"": 1, ""v2"": 1}";1
nl.mnre1025.2e-b.2024.416.doc.1;https://open.overheid.nl/documenten/e6b9ddef-392e-48b4-80d6-450b6cc3c6a1/file;Beslisnota bij Kamerbrief over het Nationaal Plan Versterking Holocausteducatie;5.0;"{""v1"": 5, ""v2"": 5}";5
nl.mnre1130.2e-b.2024.91.doc.1;https://open.overheid.nl/documenten/dpc-8c3835d93891b35f4421753b072d4ed7e2d92a62/pdf;bijlage-1-onderliggende-beslisnota-jaarplan-ilt-2025;3.0;"{""v1"": 1, ""v2"": 1}";1
nl.mnre1109.2e-b.2024.340.doc.1;https://open.overheid.nl/documenten/dpc-e7c459450decbb96c9d68ac4945167a5e3993d09/pdf;beslisnota-gelakt;5.0;"{""v1"": 1, ""v2"": 1}";1
nl.mnre1058.2e-b.2024.168.doc.1;https://open.overheid.nl/documenten/dpc-f7e49b2a6eac9ee8babb83155ffac7adccc61fde/pdf;tk-beslisnota-bij-verzoek-lid-dassen-inzake-concept-landsadvocaat;1.0;"{""v1"": 1, ""v2"": 1}";1
nl.mnre1130.2e-b.2024.215.doc.1;https://open.overheid.nl/documenten/dpc-d1acc0aa165d074a2ec11a0cbf868e6a70a1aa10/pdf;bijlagee-1-onderliggende-beslisnota-kamervragen-fabrieken-op-chemelot-dreigen-stil-te-vallen-87091-v241104d;2.0;"{""v1"": 1, ""v2"": 1}";1
nl.mnre1013.2e-b.2024.37.doc.1;https://open.overheid.nl/documenten/d0bdabd9-5781-4f0c-afdc-a9e8c04fafd2/file;Beslisnota bij fiche 1- Herziening richtlijn consulaire bescherming niet-vertegenwoordigde EU-burgers in derde landen;3.0;"{""v1"": 2, ""v2"": 2}";2
nl.mnre1013.2e-b.2024.72.doc.1;https://open.overheid.nl/documenten/12c1ae4a-52ee-4055-ae73-53b4d1719b0b/file;Beslisnota bij Beantwoording vragen over de Zwitserse regering die het World Economic Forum_ op basis van de Zwitserse _Host Sta-...-898a982;1.0;"{""v1"": 2, ""v2"": 2}";2
nl.mnre1130.2e-b.2024.250.doc.1;https://open.overheid.nl/documenten/dpc-8cb42bfc6fcd04c6c95ceccb982f647ce2691129/pdf;bijlage-1-onderliggende-beslisnota-aanbiedingsbrief-water-en-bodem-aan-eerste-kamer;2.0;"{""v1"": 1, ""v2"": 1}";1
